X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,Latitude,Longitude
-13646563.62,5706168.628,44,23-169963,2023/10/20 19:49:30+00,3,3,0,0,5,20,0,7200-7299 NE BROADWAY  ,2023/10/20 20:36:43+00,,1,45.535159908878484,-122.5891668
-13654615.22,5716030.407,45,22-101524,2023/05/25 19:32:44+00,0,0,0,0,5,20,0,10301 NE 6TH DR,2023/05/25 19:36:42+00,,0,45.597180343847945,-122.6614955
-13643804.12,5703038.293,46,22-92423,2023/05/18 21:19:49+00,3,1,0,0,5,45,0,205 nb r/w north of Main ,2023/05/18 21:36:56+00,,0,45.51545900766887,-122.5643777
-13655083.96,5706519.761,47,23-168038,2023/07/06 22:07:24+00,1,3,0,0,5,10,0,Ne San Rafael ,2023/07/06 22:36:40+00,,0,45.53736935,-122.6657063
-13648372.56,5699969.095,48,24-28371,2024/05/02 20:28:39+00,0,0,0,0,5,5,0,SE 56th and SE RHONE,2024/05/02 20:36:45+00,,0,45.49613617619333,-122.6054167
-13641369.49,5697256.549,49,23-208945,2023/11/17 22:41:38+00,3,4,0,0,5,20,0,Zenger Farm-SwCT,2023/11/17 23:36:36+00,,0,45.47905320684569,-122.5425071
-13645280.91,5697980.312,50,23-172544,2023/07/27 19:50:57+00,6,6,0,0,5,20,0,8300-8399 SE INSLEY ST,2023/07/27 20:36:42+00,,1,45.4836118,-122.577644
-13645397.16,5695886.827,51,23-185440,2024/01/25 18:25:40+00,0,4,0,0,5,30,0,7304 SE 82ND AVE,2024/01/25 18:36:43+00,,1,45.47042505501508,-122.5786883
-13655955.82,5704546.133,52,23-124527,2023/02/23 19:27:09+00,1,1,0,0,5,20,0,200-299 NW 3RD AVE,2023/02/23 19:36:48+00,,0,45.52494952639976,-122.6735383
-13654197.17,5701502.387,53,23-152724,2023/06/15 19:01:51+00,2,3,0,0,5,10,0,800-809 SE DIVISION ST,2023/06/15 19:36:48+00,,0,45.50579019249706,-122.6577401
