X,Y,OBJECTID,inc_date_create,inc_id,duplicate,item_date_create,IS_VEHICLE,report_id,latitude,longitude,zip_code,NAME,year,month
-13645790.3107,5700433.4414,171,2025/06/08 19:58:04+00,25-154303,0,20250608124821,Yes,883230,45.49906000000008,-122.58221999991882,97206,South Tabor,2025,6
-13661525.3207,5693003.8037,172,2025/06/08 19:58:03+00,25-154302,0,20250608124813,No,883229,45.45226000020186,-122.72356999970654,97219,West Portland Park,2025,6
-13636185.072,5708449.5934,173,2025/06/08 19:48:04+00,25-154301,0,20250608123950,Yes,883220,45.5495109197945,-122.49593467260057,97230,Wilkes,2025,6
-13640802.3666,5697502.5645,175,2025/06/08 19:38:04+00,25-154299,0,20250608122934,Yes,883207,45.480602767563155,-122.53741253570519,97236,Powellhurst-Gilbert,2025,6
-13639835.0294,5697689.6733,177,2025/06/08 19:28:05+00,25-154297,0,20250608121837,No,883186,45.48178126821552,-122.52872279778863,97236,Powellhurst-Gilbert,2025,6
-13657819.5049,5706361.7998,181,2025/06/08 19:28:04+00,25-154293,0,20250608121457,No,883176,45.5363754180937,-122.69028008997384,97209,Northwest District,2025,6
-13663566.9285,5714426.9939,184,2025/06/08 19:18:03+00,25-154290,0,20250608120517,Yes,883159,45.58710118804655,-122.74191007461573,97203,St. Johns,2025,6
-13657747.6282,5704434.1849,185,2025/06/08 19:08:04+00,25-154289,0,20250608120232,No,883156,45.52424496717069,-122.68963441059203,97209,Northwest District,2025,6
-13641392.5866,5705599.5381,186,2025/06/08 19:08:04+00,25-154288,0,20250608120118,Yes,883148,45.53157882966222,-122.54271457217513,97220,Hazelwood,2025,6
-13656698.6928,5704264.9155,191,2025/06/08 18:58:04+00,25-154283,0,20250608115359,No,883138,45.52317963248435,-122.68021166357329,97209,Pearl District,2025,6
-13654650.5316,5702979.8634,194,2025/06/08 18:58:03+00,25-154280,0,20250608114856,No,883132,45.51509121281441,-122.66181271847027,97214,Buckman,2025,6
-13657654.1556,5706298.5585,196,2025/06/08 18:38:04+00,25-154278,0,20250608113401,No,883108,45.53597748307351,-122.68879473193977,97209,Northwest District,2025,6
-13660141.3449,5707350.6313,199,2025/06/08 18:28:04+00,25-154275,0,20250608112228,Yes,883099,45.542597104260786,-122.71113753356667,97210,Mc Unclaimed #14,2025,6
-13661938.2122,5714888.8507,200,2025/06/08 18:28:04+00,25-154274,0,20250608112124,Yes,883095,45.590004634603666,-122.7272790671579,97203,Portsmouth,2025,6
