X,Y,OBJECTID,inc_id,created_date,post_structure_qty,post_people_count,post_people_under_25_count,post_children_count,post_reason,waste_material_qty,dogs_present,post_location,email_time_utc,bureaus_detail,graffiti,latitude,longitude,zip_code,NAME
-13654197.171,5701502.3871,53,23-152724,2023/06/15 19:01:51+00,2,3,0,0,5,10,0.0,800-809 SE DIVISION ST,2023/06/15 19:36:48+00,,0.0,45.505790193126636,-122.6577401109083,97214.0,Hosford-Abernethy
-13655877.5919,5704709.0829,54,23-217212,2023/12/21 20:23:52+00,1,1,0,0,5,10,0.0,LAN SU CHINESE GARDEN,2023/12/21 20:36:43+00,,0.0,45.52597505600245,-122.67283558869053,97209.0,Old Town
-13653817.3751,5703877.6545,55,23-216522,2024/01/04 20:40:02+00,3,3,0,0,5,7,0.0,"1100-1199 SE PINE ST, PORTLAND  97214",2024/01/04 21:36:46+00,,0.0,45.52074224321507,-122.65432834629014,97214.0,Buckman
-13654757.4404,5703320.2477,56,24-03053,2024/01/26 18:34:33+00,10,20,0,0,5,30,0.0,SE Water-MLK and SE Morrison,2024/01/26 18:36:49+00,,1.0,45.517233784728326,-122.66277309656076,97214.0,Buckman
-13657597.0033,5704551.8809,57,23-219898,2024/01/11 17:38:24+00,2,2,0,0,5,10,0.0,"NW 17TH AVE &amp; NW EVERETT ST, PORTLAND  97209",2024/01/11 18:36:41+00,,0.0,45.52498570128196,-122.68828132409364,97209.0,Northwest District
-13665690.476,5716132.9541,58,23-158712,2023/07/20 17:17:03+00,1,13,0,0,5,30,0.0,9700-9899 N LOMBARD ST,2023/07/20 17:36:52+00,,0.0,45.597824899796706,-122.76098622637377,97203.0,St. Johns
-13647817.9883,5700148.2947,59,24-13338,2024/03/06 19:44:42+00,2,4,0,0,5,15,0.0,"SE 61ST AVE &amp; SE POWELL BLVD FRONTAGE RD, PORT",2024/03/06 20:36:38+00,,1.0,45.49726455083414,-122.6004349377123,97206.0,Foster-Powell
-13658506.8776,5708982.6473,60,IRP-23-1016-05057,2023/10/19 16:52:49+00,1,2,0,0,5,10,0.0,Lindbergh's Peach Trail,2023/10/19 17:36:46+00,Metro,1.0,45.552864174438575,-122.69645486399682,97217.0,Overlook
-13649438.2181,5711627.2077,61,23-193662,2023/10/13 16:39:12+00,5,5,0,0,5,30,1.0,NE 46 and NE Lombard,2023/10/13 17:36:47+00,,0.0,45.56949721565729,-122.61498970964357,97218.0,Cully
-13636322.849,5709559.3271,62,23-211803,2023/11/30 19:07:25+00,5,10,0,0,5,60,0.0,BES Property 158 and Airport way ,2023/11/30 19:36:41+00,,0.0,45.556491638986195,-122.49717234444957,97230.0,Wilkes
-13654430.8966,5702976.4113,63,24-31378,2024/05/02 17:40:03+00,2,4,0,0,5,1,0.0,SE 6th and SE Salmon St,2024/05/02 18:36:48+00,,0.0,45.51506948292046,-122.659839703696,97214.0,Buckman
-13645795.559,5695039.2461,64,23-164061,2023/06/23 20:02:42+00,1,1,0,0,5,5,0.0,SE 79TH AVE and SE CRYSTAL SPRINGS BLVD,2023/06/23 20:36:36+00,,0.0,45.46508531238267,-122.58226714619988,97206.0,Brentwood-Darlington
-13636536.037,5708247.9541,65,23-203320,2023/10/26 17:54:25+00,1,5,0,0,5,5,0.0,15800-15899 NE FREMONT ST,2023/10/26 18:36:44+00,,0.0,45.548242425709184,-122.49908744483749,97230.0,Wilkes
-13656377.717,5704708.6087,66,24-219942,2024/01/05 20:01:47+00,3,3,0,0,5,20,0.0,622 NW GLISAN ST,2024/01/05 20:36:41+00,,0.0,45.525972071639046,-122.67732828890357,97209.0,Old Town
-13652597.9656,5704171.7579,67,24-29916,2024/05/02 18:16:20+00,1,1,0,0,5,10,0.0,SE 22nd and SE BURNSIDE,2024/05/02 18:36:48+00,,0.0,45.52259331576437,-122.64337420437563,97214.0,Buckman
