ZIP_CODE,ZIP_TYPE,PREFERRED_CITY,ACCEPTABLE_CITY1,ACCEPTABLE_CITY2,ACCEPTABLE_CITY3,AVOID_CITY1,AVOID_CITY2,AVOID_CITY3,CENSUS_ZCTA,ObjectId
97345,STANDARD,FOSTER,,,,,,,97345,156
97253,UNIQUE,PORTLAND,,,,SHARED RESHIPPER,,,NO ZCTA,157
97346,STANDARD,GATES,,,,,,,97346,158
97254,UNIQUE,PORTLAND,,,,SHARED RESHIPPER,,,NO ZCTA,159
97256,UNIQUE,PORTLAND,,,,PACIFIC POWER,PACIFICORP,,NO ZCTA,160
97266,STANDARD,PORTLAND,,,,,,,97266,161
97347,STANDARD,GRAND RONDE,,,,,,,97347,162
97267,STANDARD,PORTLAND,MILWAUKIE,OAK GROVE,,,,,97267,163
97348,STANDARD,HALSEY,,,,,,,97348,164
97268,PO BOX ONLY,PORTLAND,OAK GROVE,,,,,,NO ZCTA,165
97350,STANDARD,IDANHA,,,,,,,97350,166
97269,PO BOX ONLY,PORTLAND,MILWAUKIE,,,,,,NO ZCTA,167
97351,STANDARD,INDEPENDENCE,,,,,,,97351,168
97280,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,169
97352,STANDARD,JEFFERSON,,,,,,,97352,170
97281,PO BOX ONLY,PORTLAND,TIGARD,,,,,,NO ZCTA,171
97355,STANDARD,LEBANON,,,,,,,97355,172
97282,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,173
97357,STANDARD,LOGSDEN,,,,,,,97357,174
97283,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,175
97358,STANDARD,LYONS,,,,,,,97358,176
97286,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,177
97360,STANDARD,MILL CITY,,,,,,,97360,178
97290,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,179
97361,STANDARD,MONMOUTH,,,,,,,97361,180
97291,PO BOX ONLY,PORTLAND,,,,CEDAR MILL,,,NO ZCTA,181
97362,STANDARD,MOUNT ANGEL,,,,,,,97362,182
97292,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,183
97364,STANDARD,NEOTSU,,,,,,,97364,184
97293,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,185
97365,STANDARD,NEWPORT,,,,AGATE BEACH,,,97365,186
97294,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,187
97366,STANDARD,SOUTH BEACH,NEWPORT,,,,,,97366,188
97296,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,189
97367,STANDARD,LINCOLN CITY,ROSE LODGE,,,,,,97367,190
97298,PO BOX ONLY,PORTLAND,,,,,,,NO ZCTA,191
97368,STANDARD,OTIS,,,,,,,97368,192
97301,STANDARD,SALEM,,,,,,,97301,193
97369,STANDARD,OTTER ROCK,,,,,,,97369,194
97302,STANDARD,SALEM,,,,,,,97302,195
97370,STANDARD,PHILOMATH,,,,,,,97370,196
97303,STANDARD,SALEM,KEIZER,,,,,,97303,197
97371,STANDARD,RICKREALL,,,,,,,97371,198
97304,STANDARD,SALEM,,,,,,,97304,199
97373,PO BOX ONLY,SAINT BENEDICT,ST BENEDICT,,,,,,97373,200
97305,STANDARD,SALEM,BROOKS,,,,,,97305,201
